0.39,0,0.1
0.35,0.08,0.1
0.35,0.08,0.15
0.39,0,0.15
0.39,0 0.1
0.35 -0.08 0.1
0.35 -0.08 0.15
0.36 0.015 0.15
0.36 0.015 0.1
0.36 -0.015 0.1
0.36 -0.015 0.15
0.34 0.06 0.15
0.34 0.06 0.1
0.34 -0.06 0.1
0.29 -0.055 0.1
0.3 -0.04 0.1
0.3 -0.04 0.15
0.335 0 0.15
0.335 0 0.1
0.26 0 0.1
0.26 0 0.15
0.26 0.01 0.15
0.26 0.01 0.1
0.22 0.08 0.1
0.22 0.08 0.15
0.21 0.08 0.15
0.21 0.08 0.1
0.21 0.01 0.1
0.21 0.01 0.15
0.24 0.04 0.15
0.24 0.04 0.1
0.13 0.04 0.1
0.13 0.04 0.15
0.21 0.04 0.15
0.21 0.04 0.1
0.18 0.08 0.1
0.18 0.08 0.15
0.21 0.04 0.15
0.21 0.04 0.1
0.18 0.01 0.1
0.18 0.01 0.15
0.24 -0.01 0.15
0.24 -0.01 0.1
0.14 -0.01 0.1
0.14 -0.01 0.15
0.24 -0.01 0.15
0.24 -0.01 0.1
0.24 -0.08 0.1
0.14 -0.08 0.1
0.14 -0.08 0.15
0.14 -0.01 0.15
0.14 -0.01 0.1
0.14 -0.08 0.1

